# Real attacks log - Multiple countries and attack vectors
# Format: IP - - [timestamp] "request" status_code size "referer" "user_agent"

# Normal traffic from various countries
198.51.100.42 - - [19/May/2024:08:15:01 +0000] "GET / HTTP/1.1" 200 4264 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
198.51.100.42 - - [19/May/2024:08:15:02 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "https://example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"

# Chinese cyberattacks - APT groups and automated scanning
115.239.211.112 - - [19/May/2024:08:16:15 +0000] "GET /admin/ HTTP/1.1" 404 169 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"
115.239.211.112 - - [19/May/2024:08:16:16 +0000] "GET /admin/login.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"
115.239.211.112 - - [19/May/2024:08:16:17 +0000] "GET /wp-admin/ HTTP/1.1" 404 169 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"
115.239.211.112 - - [19/May/2024:08:16:18 +0000] "POST /wp-login.php HTTP/1.1" 404 169 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"
60.191.38.77 - - [19/May/2024:08:17:25 +0000] "GET /shell.php HTTP/1.1" 404 169 "-" "python-requests/2.25.1"
60.191.38.77 - - [19/May/2024:08:17:26 +0000] "GET /c99.php HTTP/1.1" 404 169 "-" "python-requests/2.25.1"
60.191.38.77 - - [19/May/2024:08:17:27 +0000] "GET /webshell.php HTTP/1.1" 404 169 "-" "python-requests/2.25.1"
60.191.38.77 - - [19/May/2024:08:17:28 +0000] "GET /backdoor.php HTTP/1.1" 404 169 "-" "python-requests/2.25.1"
123.56.28.145 - - [19/May/2024:08:18:30 +0000] "GET /../../etc/passwd HTTP/1.1" 400 226 "-" "curl/7.68.0"
123.56.28.145 - - [19/May/2024:08:18:31 +0000] "GET /../../../etc/shadow HTTP/1.1" 400 226 "-" "curl/7.68.0"
123.56.28.145 - - [19/May/2024:08:18:32 +0000] "GET /../../../../windows/system32/config/sam HTTP/1.1" 400 226 "-" "curl/7.68.0"

# Russian attacks - Sophisticated malware and state-sponsored
91.240.118.172 - - [19/May/2024:08:20:45 +0000] "POST /login HTTP/1.1" 200 1250 "https://fake-bank.com/login" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
91.240.118.172 - - [19/May/2024:08:20:46 +0000] "POST /login HTTP/1.1" 401 890 "https://fake-bank.com/login" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
91.240.118.172 - - [19/May/2024:08:20:47 +0000] "POST /login HTTP/1.1" 401 890 "https://fake-bank.com/login" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
178.154.171.61 - - [19/May/2024:08:21:50 +0000] "GET /?id=1' UNION SELECT username,password FROM users-- HTTP/1.1" 400 169 "-" "sqlmap/1.5.4#stable"
178.154.171.61 - - [19/May/2024:08:21:51 +0000] "GET /?id=1' AND (SELECT * FROM (SELECT COUNT(*),CONCAT(version(),FLOOR(RAND(0)*2))x FROM information_schema.tables GROUP BY x)a)-- HTTP/1.1" 400 169 "-" "sqlmap/1.5.4#stable"
46.173.218.84 - - [19/May/2024:08:22:55 +0000] "GET /phpmyadmin/ HTTP/1.1" 404 169 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
46.173.218.84 - - [19/May/2024:08:22:56 +0000] "GET /pma/ HTTP/1.1" 404 169 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
46.173.218.84 - - [19/May/2024:08:22:57 +0000] "GET /phpmyadmin2/ HTTP/1.1" 404 169 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
46.173.218.84 - - [19/May/2024:08:22:58 +0000] "GET /phpMyAdmin-2.6.0-pl1/ HTTP/1.1" 404 169 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"

# North Korean attacks - Advanced persistent threats
175.45.176.88 - - [19/May/2024:08:24:10 +0000] "GET /api/v1/users HTTP/1.1" 200 2340 "-" "Lazarus-Group-Scanner/1.0"
